payment_id,ticket_id,amount,payment_mode,payment_status,transaction_id,payment_date
1,1,1250.75,Credit Card,Completed,TXN00000000001,2023-07-01 14:25:00
2,2,1250.75,Debit Card,Completed,TXN00000000002,2023-07-01 16:42:00
3,3,980.5,UPI,Completed,TXN00000000003,2023-07-02 09:15:00
4,4,1350.25,Net Banking,Completed,TXN00000000004,2023-07-03 11:30:00
5,5,1350.25,Credit Card,Completed,TXN00000000005,2023-07-03 12:45:00
6,6,1450.8,Wallet,Completed,TXN00000000006,2023-07-05 10:20:00
7,7,1450.8,Debit Card,Completed,TXN00000000007,2023-07-05 14:35:00
8,8,1520.6,UPI,Completed,TXN00000000008,2023-07-08 08:50:00
9,9,1520.6,Credit Card,Completed,TXN00000000009,2023-07-08 16:15:00
10,10,1850.9,Net Banking,Completed,TXN00000000010,2023-07-10 09:30:00
11,11,1850.9,Debit Card,Completed,TXN00000000011,2023-07-10 13:45:00
12,12,1420.75,UPI,Completed,TXN00000000012,2023-07-12 11:20:00
13,13,1420.75,Credit Card,Completed,TXN00000000013,2023-07-12 15:40:00
14,14,1650.3,Wallet,Completed,TXN00000000014,2023-07-15 10:25:00
15,15,1650.3,Debit Card,Completed,TXN00000000015,2023-07-15 14:35:00
16,16,1580.9,UPI,Completed,TXN00000000016,2023-07-18 09:15:00
17,17,1580.9,Credit Card,Completed,TXN00000000017,2023-07-18 13:50:00
18,18,1920.45,Net Banking,Completed,TXN00000000018,2023-07-20 10:30:00
19,19,1920.45,Debit Card,Completed,TXN00000000019,2023-07-20 15:45:00
20,20,1750.8,UPI,Completed,TXN00000000020,2023-07-22 11:20:00
21,21,1250.75,Credit Card,Completed,TXN00000000021,2023-07-25 09:30:00
22,22,1250.75,Wallet,Completed,TXN00000000022,2023-07-25 14:15:00
23,23,1350.25,Debit Card,Completed,TXN00000000023,2023-07-27 10:45:00
24,24,1350.25,UPI,Completed,TXN00000000024,2023-07-27 16:30:00
25,25,1450.8,Credit Card,Completed,TXN00000000025,2023-07-29 11:25:00
26,26,1450.8,Net Banking,Completed,TXN00000000026,2023-07-29 15:50:00
27,27,1520.6,Debit Card,Completed,TXN00000000027,2023-08-01 09:15:00
28,28,1520.6,UPI,Completed,TXN00000000028,2023-08-01 13:40:00
29,29,1850.9,Credit Card,Completed,TXN00000000029,2023-08-03 10:35:00
30,30,1850.9,Wallet,Completed,TXN00000000030,2023-08-03 15:20:00
31,31,1420.75,Debit Card,Completed,TXN00000000031,2023-08-05 11:45:00
32,32,1420.75,UPI,Completed,TXN00000000032,2023-08-05 16:30:00
33,33,1650.3,Credit Card,Completed,TXN00000000033,2023-08-07 09:50:00
34,34,1650.3,Net Banking,Completed,TXN00000000034,2023-08-07 14:15:00
35,35,1580.9,Debit Card,Completed,TXN00000000035,2023-08-09 10:30:00
36,36,1580.9,UPI,Completed,TXN00000000036,2023-08-09 15:45:00
37,37,1920.45,Credit Card,Completed,TXN00000000037,2023-08-11 11:25:00
38,38,1920.45,Wallet,Completed,TXN00000000038,2023-08-11 16:40:00
39,39,1750.8,Debit Card,Completed,TXN00000000039,2023-08-13 09:35:00
40,40,1750.8,UPI,Completed,TXN00000000040,2023-08-13 14:50:00
41,41,1100.5,Credit Card,Completed,TXN00000000041,2023-08-15 10:15:00
42,42,1100.5,Net Banking,Completed,TXN00000000042,2023-08-15 15:30:00
43,43,1200.75,Debit Card,Completed,TXN00000000043,2023-08-17 11:45:00
44,44,1200.75,UPI,Completed,TXN00000000044,2023-08-17 16:20:00
45,45,1320.9,Credit Card,Completed,TXN00000000045,2023-08-19 09:35:00
46,46,1320.9,Wallet,Completed,TXN00000000046,2023-08-19 14:50:00
47,47,1380.45,Debit Card,Completed,TXN00000000047,2023-08-21 10:25:00
48,48,1380.45,UPI,Completed,TXN00000000048,2023-08-21 15:40:00
49,49,1650.3,Credit Card,Completed,TXN00000000049,2023-08-23 11:15:00
50,50,1650.3,Net Banking,Completed,TXN00000000050,2023-08-23 16:30:00
